dna_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,combo_prs,asMales_prs,asFemales_prs,sexspec_prs
DER009,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.680006141,-0.825806899,-1.398848113,-1.368144976
DER010,Germany,Derenburg,North Central,7000,51.87,10.91,F,1.47088478,1.168562937,0.061745689,1.103061068
DER011,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.441676059,1.073582196,1.034291527,1.07330633
DER012,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.171677846,0.728670209,0.562286966,0.678494356
DER013,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.334553566,-1.078915732,-0.885221433,-0.852763735
DER014,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.605054051,-0.24760983,-0.779101565,-0.746281358
DER015,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.21359965,-0.841598966,0.186263469,-0.837066097
DER017,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.039215327,-1.076022263,-0.227709894,-0.19300612
DER018,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.13199924,1.02671671,0.408724268,0.966156813
DER019,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.25165275,-0.771388762,0.327297833,-0.76930204
DER020,Germany,Derenburg,North Central,7000,51.87,10.91,M,-0.533970665,-0.357369924,-0.736002075,-0.70303464
DER021,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.677844228,0.637717665,1.984843758,2.027105671
DER022,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.567391072,-0.000714984,0.435429337,-0.025478804
DER023,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.032843343,-0.375488967,-0.780852583,-0.387195532
DER024,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.98703175,-2.505587783,-1.4819767,-2.443080966
DER026,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.443885093,-0.55335017,-0.794754856,-0.761988122
DER028,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.388552881,-0.587226419,-0.513940346,-0.591555978
DER029,Germany,Derenburg,North Central,7000,51.87,10.91,F,NA,NA,NA,NA
DER030,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.131259644,0.854744414,0.247907466,0.284235961
DER031,Germany,Derenburg,North Central,7000,51.87,10.91,M,1.215787592,0.974466931,1.883008591,1.924922633
DER032,Germany,Derenburg,North Central,7000,51.87,10.91,M,0.626380673,-0.217193542,0.839173493,0.877521768
DER033,Germany,Derenburg,North Central,7000,51.87,10.91,F,-1.27710333,-2.046388992,-2.599159114,-1.99988082
DER034,Germany,Derenburg,North Central,7000,51.87,10.91,F,1.609699757,1.432709134,0.925101268,1.358004321
DER035,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.319842716,1.132058162,0.428702168,1.067828133
DER036,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.504451473,-0.045511465,-0.767626285,-0.06871456
DER037,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.694213046,1.250597146,-0.148710453,1.182237177
HBS002,Germany,Halberstadt,North Central,6975,51.9,11.05,M,0.044823324,-1.026667696,-0.481086351,-0.447248117
HBS004,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-0.27930261,-1.007589973,0.453924979,0.490957235
HBS005,Germany,Halberstadt,North Central,6975,51.9,11.05,M,0.671764806,0.897880636,-0.322468503,-0.288088427
HBS006,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-1.345992282,-0.85389621,-0.514624465,-0.480900798
HBS007,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-0.498745946,-0.568575744,-0.713360998,-0.68031622
HBS008,Germany,Halberstadt,North Central,6975,51.9,11.05,M,1.168548756,0.772462691,0.836749758,0.875089753
HBS009,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-1.056912261,-1.136026888,-0.835362198,-0.802734179
I0046_published,Germany,Halberstadt-Sonntagsfeld,North Central,7051,51.9,11.05,F,1.864679909,1.006761359,0.570005293,0.946896714
I0048_published,Germany,Halberstadt-Sonntagsfeld,North Central,7056,51.9,11.05,M,0.323987757,0.773197388,-0.273659879,-0.239113071
I0054,Germany,Unterwiederstedt,North Central,7072,51.66,11.53,F,0.186827544,1.098216774,-1.037820664,1.03516579
I0056,Germany,Halberstadt-Sonntagsfeld,North Central,7059,51.89,11.04,M,1.210109698,0.727237419,1.309031224,1.348984545
I0057_published,Germany,Halberstadt-Sonntagsfeld,North Central,7070,51.9,11.05,F,-0.190143596,0.337637892,0.479791188,0.30108574
I0100,Germany,Halberstadt-Sonntagsfeld,North Central,6977,51.9,11.05,F,1.398362821,0.965124163,0.961208085,0.906710172
I0659_published,Germany,Halberstadt-Sonntagsfeld,North Central,7037,51.9,11.05,M,0.664417518,-0.572427893,-0.055344515,-0.020051936
I0795,Germany,Karsdorf,North Central,7079,51.28,11.65,M,-1.202183749,-0.728596792,-1.116266295,-1.084597852
I0797,Germany,Karsdorf,North Central,7125,51.28,11.65,M,0.598730813,0.39984748,0.061941151,0.097634381
I0821_published,Germany,Halberstadt-Sonntagsfeld,North Central,6976,51.9,11.05,M,-0.869507653,-0.732849844,0.181433915,0.217535335
I1550_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,0.144336813,0.031897552,0.525529421,0.005997499
I2005_published,Germany,Halberstadt-Sonntagsfeld,North Central,7126,51.9,11.05,F,-0.128293085,-0.184058091,-0.939226103,-0.202434173
I2008_published,Germany,Halberstadt-Sonntagsfeld,North Central,7052,51.9,11.05,F,-1.389815929,-1.770969071,-0.92745763,-1.734056625
I2014,Germany,Halberstadt-Sonntagsfeld,North Central,6978,51.9,11.05,M,-0.652112455,-0.295874988,-1.166345426,-1.134848054
I2016_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,-0.098660108,0.189861796,0.17153048,0.158458215
I2017_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,-1.21153041,-0.547720107,-0.67584848,-0.553426079
I2020,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,M,-1.030156429,-0.320486907,-1.657852262,-1.62803389
I2021_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,M,-0.029218483,0.073722126,0.038583378,0.074196817
I2022,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,0.43790323,0.849921384,-0.696705961,0.795521098
I2026_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,M,-0.324524193,0.390896899,-0.380121807,-0.345938676
I2029_published,Germany,Halberstadt-Sonntagsfeld,North Central,7126,51.9,11.05,F,-0.177399627,-0.310298757,0.039096467,-0.324276572
I2030_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,-1.708480162,-1.447022535,-2.05201061,-1.421396498
I2032_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,-0.605444172,-1.190697768,-1.168935305,-1.174002175
I2036_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,1.919337555,0.658921914,0.283514225,0.611176115
I2037_published,Germany,Halberstadt-Sonntagsfeld,North Central,7056,51.9,11.05,M,-0.305684576,0.503567892,-0.11404843,-0.078956385
I2038_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,0.47447712,0.187831139,-0.004467245,0.156498306
I0018,Germany,"Stuttgart-M√ºhlhausen ""Viesenh√§user Hof""",South Central,7143,48.78,9.18,F,-1.597425579,-1.501301228,-1.987703436,-1.473784103
I0022,Germany,"Stuttgart-M√ºhlhausen ""Viesenh√§user Hof""",South Central,7125,48.78,9.18,F,1.541200927,1.137623733,0.4287266,1.073199797
I0025,Germany,"Stuttgart-M√ºhlhausen ""Viesenh√§user Hof""",South Central,7125,48.78,9.18,F,1.823452196,0.349708539,1.931843277,0.312735842
I0026,Germany,"Stuttgart-M√ºhlhausen ""Viesenh√§user Hof""",South Central,7125,48.78,9.18,F,1.501419914,1.272173537,2.449027374,1.203061839
I0174,Hungary,"Alsónyék-Bátaszék, Mérnöki telep",South Central,7569,46.21,18.7,M,0.061370977,0.660847988,0.693749367,0.731600869
I0176,Hungary,Szemely-Hegyes,South Central,7026,46.4,18.74,F,0.573763038,0.253892875,0.61002136,0.220258429
I1496,Hungary,Apc-Berekalya,South Central,7052,47.17,19.83,M,-1.038787867,-0.392875928,-0.330172985,-0.295819227
I1508,Hungary,Beretty√≥√∫jfalu-Morotva-Liget,South Central,7590,47.32,21.53,F,-0.987746973,-0.968841889,-0.924761876,-0.959875832
I1876,Hungary,"Alsónyék-Bátaszék, Mérnöki telep",South Central,7544,46.21,18.71,M,-0.597381662,-1.473002751,-0.925861352,-0.893542481
I1878_published,Hungary,"Alsónyék-Bátaszék, Mérnöki telep",South Central,7649,46.21,18.71,M,-0.367518831,-0.480586392,-0.199661021,-0.164861431
I1880,Hungary,"Lánycsók, Gata-Csatola",South Central,7050,45.99,18.58,M,2.579180258,2.248824846,1.270301137,1.310122155
I1882,Hungary,"Budakeszi, Sz_l_skert-Tangazdaság",South Central,7050,47.5,18.91,M,-0.651185916,-0.333777691,-0.452353358,-0.418416972
I1883,Hungary,Tolna-M√∂zs TO26,South Central,7138,46.41,18.74,M,0.632134965,0.70362427,0.166220414,0.202269865
I1904,Hungary,B√°tasz√©k-Lajv√©r,South Central,7028,46.2,18.7,M,2.251244787,1.618337036,1.062790779,1.101902936
I2355,Hungary,Pusztataskony-Ledence I,South Central,7050,47.46,20.51,F,0.056559478,-0.588638293,0.192648578,-0.597788
I2357,Hungary,Pusztataskony Ledence I,South Central,7050,47.46,20.51,F,-0.219386452,0.1265628,-0.402950202,0.08368337
I2373,Hungary,T√∂r√∂kszentmiklos Tiszap√ºsp√∂ki Karanycs haromag 3. lh.,South Central,7700,47.18,20.35,F,-0.180049203,-0.341115947,0.216112227,-0.35402008
I2374,Hungary,T√∂r√∂kszentmiklos Tiszap√ºsp√∂ki Karanycs haromag 3. lh.,South Central,7700,47.18,20.35,M,-0.409570676,-0.239661505,-1.22125411,-1.189944308
I2739_published,Hungary,"Alsónyék-Bátaszék, site 11",South Central,7158,46.21,18.7,M,0.585564213,0.52311624,0.620682213,0.658284116
I2794,Hungary,"Törökszentmiklós, road 4, site 3",South Central,7573,47.19,20.4,F,0.164769425,0.393485333,0.914964092,0.354987437
I3536,Hungary,"Enese elkerül_, Kóny, Proletár-dülö, M85, Site 2",South Central,7050,47.64,17.36,F,-0.759623434,0.444983856,-1.022786337,0.404691734
I4181,Hungary,B√∂lcske-Gy≈±r≈±sv√∂lgy,South Central,7050,46.74,18.96,F,-0.502126999,0.53722626,-0.522785026,0.49372038
I4196,Hungary,"Budakeszi, Sz_l_skert-Tangazdaság",South Central,7050,47.5,18.91,F,1.073838638,0.337550739,0.305145412,0.301001624
I4972,Hungary,Tiszasz_l_s-Domaháza,South Central,7700,47.56,20.72,F,-1.740990286,-1.317226038,-1.108626968,-1.296122157
I5068,Austria,Kleinhadersdorf Flur Marchleiten,South Central,7088,48.67,16.58,M,-0.767929771,-1.488899401,-0.586937459,-0.553460815
I5069,Austria,Kleinhadersdorf Flur Marchleiten,South Central,7088,48.67,16.58,F,-0.191850377,-0.375070634,-0.018532404,-0.386791774
I5070,Austria,Schletz,South Central,7088,48.58,16.47,M,-0.019546721,-0.385520241,-0.442914147,-0.408945516
I5204,Austria,Schletz,South Central,6950,48.58,16.47,M,-0.470332098,-0.456854715,-0.229045555,-0.194346343
I5205,Austria,Schletz,South Central,6950,48.58,16.47,F,1.482157665,1.74330353,1.056617421,1.6577775
I5206,Austria,Schletz,South Central,6950,48.58,16.47,F,-1.835838572,-1.663849704,-1.321176187,-1.630669334
I5207,Austria,Schletz,South Central,6950,48.58,16.47,M,0.204431776,0.463190052,0.570235776,0.607665352
I5208,Austria,Schletz,South Central,6950,48.58,16.47,F,0.498550866,0.038983065,1.005005538,0.012836151
I6912_all_published,Austria,Brunn Wolfholz,South Central,7088,48.12,16.29,M,-0.310528584,-0.076729557,0.092026093,0.1282795
I6913_published,Austria,Brunn Wolfholz,South Central,7366,48.12,16.29,M,0.069124641,0.441759207,0.243403683,0.2820789
NE1.SG,Hungary,"Polgár-Ferenci-hát, M3-31",South Central,7146,47.98,21.16,F,0.998592331,2.337765906,1.645646217,2.191888
NE6.SG,Hungary,Apc-Berekalya I,South Central,7040,47.17,19.83,M,-0.803577122,-0.517242812,-0.244682558,-0.2138162
SCH001,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,0.838931862,-0.078681777,0.828491466,-0.100729207
SCH004,Germany,Schwetzingen,South Central,7050,49.38,8.58,M,-0.557377954,-0.483985347,0.39056254,0.427378349
SCH007,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,0.184356775,-0.278610041,-0.764979396,-0.293691901
SCH009,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,0.177155783,-0.027897907,-0.024135663,-0.051714664
SCH010,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,-0.107584137,0.55977266,-0.360453389,0.515481256
SCH011,Germany,Schwetzingen,South Central,7050,49.38,8.58,M,0.037476036,0.690829384,0.029225609,0.064807082
SCH014,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,-1.409484554,-1.383453365,-2.411718686,-1.3600421
SCH015,Germany,Schwetzingen,South Central,7050,49.38,8.58,F,0.604875226,1.818150258,0.152603191,1.730016542
SCH016,Germany,Schwetzingen,South Central,7050,49.38,8.58,M,0.686719463,-0.191692666,-0.065427124,-0.030168987
SCH018,Germany,Schwetzingen,South Central,7050,49.38,8.58,M,0.160786935,-0.325201867,0.61459274,0.652173842
SMH004,Germany,Stuttgart-M√ºhlhausen,South Central,7050,48.78,9.18,F,1.040917261,-0.275402822,0.214467084,-0.290596422
XN164,Germany,Stuttgart-M√ºhlhausen,South Central,7110,48.78,9.18,M,-1.066957889,-0.751622532,-1.048790999,-1.016892058
XN165,Germany,Stuttgart-M√ºhlhausen,South Central,7099,48.78,9.18,M,-1.466734882,-0.372429908,-1.806574819,-1.777264487
XN166,Germany,Stuttgart-M√ºhlhausen,South Central,7100,48.78,9.18,F,0.349833305,-0.655911452,-0.084460288,-0.657848
XN167,Germany,Stuttgart-M√ºhlhausen,South Central,7176,48.78,9.18,M,0.349443184,0.765108747,0.62220112,0.659808211
XN168,Germany,Stuttgart-M√ºhlhausen,South Central,7093,48.78,9.18,M,0.537302934,0.18156486,1.033648944,1.072661552
XN169,Germany,Stuttgart-M√ºhlhausen,South Central,7081,48.78,9.18,F,0.143995456,0.002561957,0.392566031,-0.022316033
XN170,Germany,Stuttgart-M√ºhlhausen,South Central,7024,48.78,9.18,M,-0.444454039,-1.130239949,-0.455830963,-0.421906456
XN171,Germany,Stuttgart-M√ºhlhausen,South Central,7106,48.78,9.18,M,1.722661059,1.080981459,2.182440908,2.225377818
XN172,Germany,Stuttgart-M√ºhlhausen,South Central,7101,48.78,9.18,F,0.535531132,0.268046471,0.726147282,0.233918909
XN173,Germany,Stuttgart-M√ºhlhausen,South Central,7060,48.78,9.18,M,-0.691921101,-1.011302678,-1.387307679,-1.35656512
XN174,Germany,Stuttgart-M√ºhlhausen,South Central,6898,48.78,9.18,M,0.944448345,1.634066353,0.906757923,0.945337068
XN175,Germany,Stuttgart-M√ºhlhausen,South Central,7092,48.78,9.18,F,-0.506824712,0.008096153,0.277430453,-0.01697465
XN178,Germany,Stuttgart-M√ºhlhausen,South Central,7100,48.78,9.18,F,-0.243980361,-0.3290453,-0.877622827,-0.342369978
XN180,Germany,Stuttgart-M√ºhlhausen,South Central,7068,48.78,9.18,M,0.607394761,0.152255412,0.062584549,0.098279976
XN182,Germany,Stuttgart-M√ºhlhausen,South Central,7076,48.78,9.18,F,-0.416056446,0.169049735,-1.425773077,0.138371253
XN183,Germany,Stuttgart-M√ºhlhausen,South Central,7152,48.78,9.18,F,-0.187347725,1.078406968,0.093459485,1.016046165
XN188,Germany,Stuttgart-M√ºhlhausen,South Central,7130,48.78,9.18,F,0.872726136,1.159872942,0.433100075,1.094673836
XN191,Germany,Stuttgart-M√ºhlhausen,South Central,7199,48.78,9.18,M,0.6086464,0.416964267,0.537639954,0.574958183
XN205,Germany,Stuttgart-M√ºhlhausen,South Central,7100,48.78,9.18,M,0.075837982,-0.278766915,0.657601014,0.695329033
XN206,Germany,Stuttgart-M√ºhlhausen,South Central,7086,48.78,9.18,M,1.084219121,0.875121583,0.697857338,0.735722873
XN207,Germany,Stuttgart-M√ºhlhausen,South Central,7100,48.78,9.18,F,-0.144255556,0.234117931,1.100857108,0.20117245
XN211,Germany,Stuttgart-M√ºhlhausen,South Central,7068,48.78,9.18,F,0.453036693,0.328661165,-0.144703471,0.292421766
XN215,Germany,Stuttgart-M√ºhlhausen,South Central,7010,48.78,9.18,M,0.304530448,-0.319380067,0.686114926,0.723940349
XN224,Germany,Stuttgart-M√ºhlhausen,South Central,7091,48.78,9.18,F,0.556971559,0.688045727,0.512083228,0.639285245
XN225,Germany,Stuttgart-M√ºhlhausen,South Central,7100,48.78,9.18,M,0.465227989,0.702232441,1.031710607,1.070716594